,Time,T1,T2,day
117,5:51:14,24.90234375,31.039832746478876,1
118,5:54:14,24.658203125,31.039832746478876,1
119,5:57:14,24.90234375,30.352112676056343,1
120,6:0:14,24.658203125,31.039832746478876,1
121,6:3:14,24.4140625,31.039832746478876,1
122,6:6:14,24.4140625,31.039832746478876,1
123,6:9:14,24.4140625,31.039832746478876,1
124,6:12:14,24.4140625,31.039832746478876,1
125,6:15:15,24.4140625,30.352112676056343,1
126,6:18:15,24.4140625,30.352112676056343,1
127,6:21:16,24.658203125,31.039832746478876,1
128,6:24:16,24.4140625,31.039832746478876,1
129,6:27:16,24.4140625,30.352112676056343,1
130,6:30:16,24.4140625,31.039832746478876,1
131,6:33:16,24.658203125,30.352112676056343,1
132,6:36:16,24.4140625,30.352112676056343,1
